id,name,coordinate_x,coordinate_y,airport
1.0,hmw,7.49,8.69,True
2.0,eyy,3.05,12.39,False
3.0,idh,7.76,9.44,False
4.0,olt,12.14,3.96,True
5.0,ddz,12.12,2.71,False
6.0,wug,3.13,10.72,False
7.0,pez,12.79,12.53,False
8.0,cxd,6.61,3.14,False
9.0,dts,2.61,11.38,True
10.0,pfz,11.22,12.1,False
11.0,arw,1.88,4.34,False
12.0,rzh,1.56,3.41,False
13.0,ntz,2.8,3.68,True
14.0,zup,2.54,4.69,False
15.0,jsm,6.91,9.27,False
16.0,hgz,11.91,11.71,True
17.0,hwf,7.54,2.67,False
18.0,hbw,12.69,3.44,False
19.0,weu,8.37,9.0,False
20.0,hcd,3.47,11.68,False
21.0,wtt,8.05,8.18,False
22.0,nut,7.01,8.1,False
23.0,jqb,11.84,12.65,False
24.0,qza,10.98,11.28,False
25.0,qsy,12.67,11.32,False
