,from_city_id,to_city_id,distance
0,1.0,2.0,1169.0
1,2.0,1.0,1169.0
2,1.0,4.0,1408.0
3,4.0,1.0,1408.0
4,1.0,5.0,1114.0
5,5.0,1.0,1114.0
6,1.0,6.0,88.0
7,6.0,1.0,88.0
8,1.0,7.0,141.0
9,7.0,1.0,141.0
10,1.0,8.0,1156.0
11,8.0,1.0,1156.0
12,1.0,10.0,1162.0
13,10.0,1.0,1162.0
14,2.0,4.0,168.0
15,4.0,2.0,168.0
16,2.0,5.0,202.0
17,5.0,2.0,202.0
18,2.0,6.0,1103.0
19,6.0,2.0,1103.0
20,2.0,7.0,1365.0
21,7.0,2.0,1365.0
22,2.0,8.0,111.0
23,8.0,2.0,111.0
24,2.0,10.0,1240.0
25,10.0,2.0,1240.0
26,3.0,5.0,1056.0
27,5.0,3.0,1056.0
28,3.0,6.0,1075.0
29,6.0,3.0,1075.0
30,3.0,8.0,907.0
31,8.0,3.0,907.0
32,3.0,9.0,221.0
33,9.0,3.0,221.0
34,3.0,10.0,127.0
35,10.0,3.0,127.0
36,4.0,5.0,249.0
37,5.0,4.0,249.0
38,4.0,6.0,883.0
39,6.0,4.0,883.0
40,4.0,8.0,271.0
41,8.0,4.0,271.0
42,5.0,6.0,1253.0
43,6.0,5.0,1253.0
44,5.0,8.0,157.0
45,8.0,5.0,157.0
46,5.0,10.0,1238.0
47,10.0,5.0,1238.0
48,6.0,7.0,213.0
49,7.0,6.0,213.0
50,6.0,8.0,1098.0
51,8.0,6.0,1098.0
52,6.0,10.0,916.0
53,10.0,6.0,916.0
54,7.0,8.0,1229.0
55,8.0,7.0,1229.0
56,8.0,10.0,898.0
57,10.0,8.0,898.0
58,9.0,10.0,319.0
59,10.0,9.0,319.0
