,from_city_id,to_city_id,distance
0,1.0,4.0,238.0
1,4.0,1.0,238.0
2,1.0,21.0,270.0
3,21.0,1.0,270.0
4,1.0,26.0,267.0
5,26.0,1.0,267.0
6,1.0,28.0,366.0
7,28.0,1.0,366.0
8,1.0,36.0,176.0
9,36.0,1.0,176.0
10,1.0,38.0,300.0
11,38.0,1.0,300.0
12,1.0,41.0,298.0
13,41.0,1.0,298.0
14,1.0,43.0,328.0
15,43.0,1.0,328.0
16,2.0,4.0,264.0
17,4.0,2.0,264.0
18,2.0,6.0,242.0
19,6.0,2.0,242.0
20,2.0,11.0,226.0
21,11.0,2.0,226.0
22,2.0,18.0,313.0
23,18.0,2.0,313.0
24,2.0,24.0,474.0
25,24.0,2.0,474.0
26,2.0,29.0,250.0
27,29.0,2.0,250.0
28,2.0,37.0,174.0
29,37.0,2.0,174.0
30,2.0,40.0,296.0
31,40.0,2.0,296.0
32,2.0,46.0,328.0
33,46.0,2.0,328.0
34,2.0,49.0,330.0
35,49.0,2.0,330.0
36,3.0,20.0,169.0
37,20.0,3.0,169.0
38,3.0,31.0,321.0
39,31.0,3.0,321.0
40,3.0,39.0,245.0
41,39.0,3.0,245.0
42,3.0,44.0,300.0
43,44.0,3.0,300.0
44,3.0,45.0,238.0
45,45.0,3.0,238.0
46,4.0,21.0,372.0
47,21.0,4.0,372.0
48,4.0,28.0,321.0
49,28.0,4.0,321.0
50,4.0,29.0,298.0
51,29.0,4.0,298.0
52,4.0,36.0,448.0
53,36.0,4.0,448.0
54,4.0,41.0,406.0
55,41.0,4.0,406.0
56,5.0,12.0,385.0
57,12.0,5.0,385.0
58,5.0,13.0,272.0
59,13.0,5.0,272.0
60,5.0,14.0,273.0
61,14.0,5.0,273.0
62,5.0,24.0,362.0
63,24.0,5.0,362.0
64,5.0,27.0,228.0
65,27.0,5.0,228.0
66,5.0,30.0,235.0
67,30.0,5.0,235.0
68,5.0,49.0,332.0
69,49.0,5.0,332.0
70,6.0,11.0,346.0
71,11.0,6.0,346.0
72,6.0,18.0,299.0
73,18.0,6.0,299.0
74,6.0,34.0,340.0
75,34.0,6.0,340.0
76,6.0,37.0,142.0
77,37.0,6.0,142.0
78,6.0,40.0,147.0
79,40.0,6.0,147.0
80,7.0,17.0,297.0
81,17.0,7.0,297.0
82,7.0,19.0,358.0
83,19.0,7.0,358.0
84,7.0,20.0,420.0
85,20.0,7.0,420.0
86,7.0,26.0,268.0
87,26.0,7.0,268.0
88,7.0,31.0,357.0
89,31.0,7.0,357.0
90,7.0,43.0,368.0
91,43.0,7.0,368.0
92,7.0,44.0,244.0
93,44.0,7.0,244.0
94,8.0,10.0,295.0
95,10.0,8.0,295.0
96,8.0,15.0,295.0
97,15.0,8.0,295.0
98,8.0,23.0,290.0
99,23.0,8.0,290.0
100,8.0,42.0,417.0
101,42.0,8.0,417.0
102,9.0,16.0,347.0
103,16.0,9.0,347.0
104,9.0,22.0,246.0
105,22.0,9.0,246.0
106,9.0,25.0,210.0
107,25.0,9.0,210.0
108,9.0,42.0,468.0
109,42.0,9.0,468.0
110,9.0,48.0,189.0
111,48.0,9.0,189.0
112,10.0,15.0,306.0
113,15.0,10.0,306.0
114,10.0,23.0,236.0
115,23.0,10.0,236.0
116,11.0,13.0,421.0
117,13.0,11.0,421.0
118,11.0,18.0,191.0
119,18.0,11.0,191.0
120,11.0,24.0,367.0
121,24.0,11.0,367.0
122,11.0,29.0,382.0
123,29.0,11.0,382.0
124,11.0,37.0,246.0
125,37.0,11.0,246.0
126,11.0,40.0,226.0
127,40.0,11.0,226.0
128,11.0,46.0,160.0
129,46.0,11.0,160.0
130,11.0,49.0,225.0
131,49.0,11.0,225.0
132,11.0,50.0,381.0
133,50.0,11.0,381.0
134,12.0,13.0,132.0
135,13.0,12.0,132.0
136,12.0,14.0,212.0
137,14.0,12.0,212.0
138,12.0,30.0,329.0
139,30.0,12.0,329.0
140,12.0,33.0,163.0
141,33.0,12.0,163.0
142,12.0,46.0,360.0
143,46.0,12.0,360.0
144,12.0,49.0,365.0
145,49.0,12.0,365.0
146,12.0,50.0,317.0
147,50.0,12.0,317.0
148,13.0,14.0,314.0
149,14.0,13.0,314.0
150,13.0,24.0,335.0
151,24.0,13.0,335.0
152,13.0,30.0,412.0
153,30.0,13.0,412.0
154,13.0,33.0,215.0
155,33.0,13.0,215.0
156,13.0,46.0,311.0
157,46.0,13.0,311.0
158,13.0,49.0,210.0
159,49.0,13.0,210.0
160,13.0,50.0,265.0
161,50.0,13.0,265.0
162,14.0,30.0,163.0
163,30.0,14.0,163.0
164,14.0,33.0,372.0
165,33.0,14.0,372.0
166,16.0,23.0,312.0
167,23.0,16.0,312.0
168,16.0,25.0,172.0
169,25.0,16.0,172.0
170,16.0,42.0,258.0
171,42.0,16.0,258.0
172,16.0,48.0,140.0
173,48.0,16.0,140.0
174,17.0,19.0,343.0
175,19.0,17.0,343.0
176,17.0,21.0,333.0
